wage,hours,iq,kww,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc,distance
1418,45,102,44,12,19,20,36,1,0,1,1,2,3,8,8,58.865891
1424,50,96,47,17,15,12,37,1,0,0,1,2,3,,,66.592995
1424,50,98,41,14,15,4,35,1,0,0,1,1,1,12,12,62.686615
1442,40,123,42,17,14,7,38,1,0,1,0,2,3,12,6,66.540718
1442,40,108,40,12,17,17,36,1,0,1,1,1,1,9,12,44.192753
1442,40,113,36,13,14,8,36,1,0,1,1,2,1,12,12,61.395378
1442,40,115,47,12,14,9,36,1,0,0,1,7,5,12,12,57.549263
1442,40,112,42,12,19,15,36,1,0,0,1,3,2,10,8,51.044121
1442,40,114,38,12,16,17,33,1,0,0,1,2,3,12,10,60.392761
1442,40,110,40,13,13,13,29,1,1,1,1,1,2,7,9,61.559124
1442,40,113,45,16,8,10,35,1,0,1,1,2,2,8,8,65.807434
1442,60,117,39,16,9,3,31,1,0,1,1,1,2,12,10,66.073601
1442,40,132,39,17,8,1,33,1,0,1,1,3,1,8,12,66.582703
1442,40,118,33,16,6,7,29,1,0,0,1,2,1,16,12,65.641312
1442,40,105,42,12,9,16,37,1,0,1,1,3,4,,,52.828125
1444,40,120,50,16,12,15,37,1,0,0,1,1,2,17,13,66.238365
1444,40,109,33,15,11,1,29,1,0,1,1,2,1,11,9,64.203125
1452,35,69,33,16,12,15,38,1,1,0,1,7,6,10,10,66.059052
1452,45,115,45,17,1,7,30,1,0,0,1,3,1,12,14,66.738449
1455,40,109,44,16,8,13,36,1,0,0,1,1,2,8,8,64.752853
1463,45,104,47,15,14,11,37,1,0,1,1,3,4,12,12,63.964199
1473,40,110,48,16,15,15,36,1,0,1,0,1,2,12,14,65.326408
1495,45,113,50,17,13,9,33,1,0,0,1,3,3,12,8,66.469086
1495,45,109,34,18,10,3,32,1,0,0,1,3,1,9,8,66.913689
1500,40,101,38,13,13,2,32,1,0,1,1,5,3,12,8,60.935284
1500,40,103,29,12,10,11,34,1,0,0,1,2,3,12,7,57.066113
1500,40,123,43,16,9,12,32,1,0,1,1,1,1,12,14,65.136978
1500,37,119,41,15,8,5,33,0,0,0,1,1,1,12,18,64.137291
1522,46,102,37,12,15,16,37,1,0,0,0,3,2,12,10,55.577156
1539,45,120,36,17,7,8,34,1,0,0,1,1,1,8,8,66.616562
1539,40,111,41,17,10,13,37,1,0,0,1,3,2,12,16,66.727722
1539,40,115,38,17,7,9,31,1,0,1,1,2,1,12,16,66.40715
1539,40,112,42,12,15,15,32,1,0,0,0,3,1,,10,46.615227
1541,40,94,39,12,8,1,32,1,0,0,1,8,3,12,11,53.860668
1550,40,104,47,12,16,1,34,1,0,1,0,8,4,9,10,52.279388
1559,40,103,32,12,17,10,34,1,0,0,1,3,4,8,8,52.90897
1562,40,97,28,17,7,2,32,1,0,1,1,5,1,12,13,66.623199
1566,40,127,44,12,7,1,29,1,0,0,1,3,2,11,,60.006973
1573,55,90,28,12,5,3,30,1,0,0,1,4,3,11,8,52.373699
1573,55,112,42,18,7,8,34,1,0,1,1,1,1,14,18,66.921516
1575,40,117,28,12,13,2,30,1,0,0,1,3,3,10,10,46.708038
1586,40,127,48,16,16,12,37,1,0,0,1,4,4,16,16,66.290466
1586,40,92,47,14,16,1,36,1,0,1,1,4,4,12,,63.180996
1602,60,124,36,16,12,2,37,1,0,0,1,1,2,12,12,65.698776
1602,65,97,47,15,14,14,37,1,0,0,1,1,1,8,,64.165634
1602,60,110,45,15,14,1,37,1,0,0,1,5,1,14,12,64.181427
1602,60,124,32,16,8,9,29,1,0,0,1,3,1,16,16,65.498337
1607,56,108,41,13,7,9,36,1,0,0,1,2,1,,,62.110081
1615,50,113,49,16,10,4,36,1,0,0,1,2,1,12,12,65.667007
1620,38,111,42,15,8,5,29,1,0,0,0,1,2,10,,63.944584
1634,40,94,39,13,18,18,36,1,0,1,1,2,2,8,8,60.85873
1634,40,95,48,12,18,3,38,1,0,1,1,3,3,,3,46.830276
1643,48,117,48,18,8,2,33,1,0,0,1,2,2,12,18,67.39415
1679,55,127,45,18,10,3,32,1,0,1,1,1,2,12,16,67.165558
1682,40,115,48,16,10,4,37,1,0,1,1,1,2,12,17,65.147652
1682,50,107,41,14,15,9,32,1,0,1,1,0,1,12,12,62.537006
1682,45,126,40,16,10,11,31,1,0,0,1,1,1,12,16,64.728424
1694,30,113,30,15,9,8,29,0,0,0,1,3,1,12,16,63.687263
1699,40,100,40,12,11,9,33,1,0,0,1,1,2,12,8,48.495407
1699,40,96,19,12,10,1,29,0,0,1,1,2,3,12,12,46.412148
1710,45,114,39,18,7,6,32,1,0,0,1,1,1,12,,66.979874
1710,45,118,40,18,12,12,38,1,0,0,1,1,1,12,12,67.007263
1730,50,117,41,18,12,12,37,1,0,0,1,1,2,12,8,67.390793
1744,43,106,41,16,8,9,29,1,0,1,1,1,1,12,16,65.364479
1746,40,131,41,18,9,10,33,1,0,0,1,7,3,12,12,67.151344
1748,55,123,48,17,10,7,36,1,0,0,1,1,1,12,12,66.750687
1748,55,125,50,18,12,12,34,1,0,0,1,1,2,14,15,67.166168
1749,40,108,32,12,13,9,29,0,0,0,1,7,1,12,9,53.046604
1749,43,101,28,12,16,17,36,1,0,0,0,2,2,12,8,49.636417
1778,40,109,43,16,14,13,36,1,0,0,1,0,1,11,12,65.750969
1779,40,132,42,17,8,9,32,1,0,0,1,1,1,17,14,66.392387
1792,40,118,47,16,9,9,34,1,0,0,1,1,1,12,12,66.025749
1832,40,97,38,12,16,1,36,1,0,0,1,1,2,8,12,54.814064
1843,48,109,38,16,11,2,32,1,0,0,1,3,2,12,,65.89566
1899,40,127,49,18,9,14,36,0,0,0,1,0,1,10,,66.876671
1903,48,118,44,18,13,5,36,1,0,0,0,0,1,11,11,67.295753
1920,40,109,32,12,13,2,31,1,0,0,0,0,1,12,8,50.623024
1924,50,112,47,18,9,10,38,1,0,0,1,6,1,16,18,66.983253
1924,50,98,49,17,6,7,38,1,0,0,1,1,1,4,,66.547485
1924,40,105,42,16,14,13,36,1,0,0,0,0,1,12,,66.337822
1924,50,99,48,16,16,14,37,1,0,0,1,0,1,16,18,64.695992
1924,50,121,40,18,11,7,35,1,0,0,1,3,1,16,18,67.363289
1924,45,112,40,16,17,18,38,1,0,0,1,1,1,12,12,64.460533
2004,48,105,48,18,10,0,34,1,0,0,1,2,1,12,12,67.076576
2067,40,106,41,16,12,13,33,1,0,1,1,2,1,14,12,64.494438
2099,55,119,38,16,10,4,32,1,0,0,1,0,1,12,12,65.39209
2137,45,145,50,16,17,8,38,1,0,0,1,2,1,12,12,64.329559
2137,45,102,35,13,8,2,30,1,0,1,0,0,1,12,12,61.745827
2137,40,120,48,16,16,3,37,1,0,1,1,3,3,12,12,65.780853
2137,45,108,45,16,11,2,36,1,0,0,1,2,3,12,,65.951454
2162,40,115,51,17,4,4,38,1,0,0,1,1,1,12,12,66.414764
2162,40,116,38,15,9,4,31,1,0,0,1,2,1,12,17,63.87661
2162,40,124,48,18,10,8,32,1,0,1,1,1,1,10,10,67.242134
2308,40,116,42,17,8,2,38,1,0,0,0,6,1,12,13,66.663422
2404,50,106,38,15,8,0,32,1,0,0,1,2,1,12,12,63.68095
2404,50,96,42,14,1,1,36,1,0,0,1,5,5,8,10,63.223358
2500,40,95,51,15,12,9,36,1,0,0,1,3,1,16,16,63.657227
2500,60,82,41,12,21,1,38,1,0,1,0,3,3,8,5,56.443027
2668,75,108,41,13,12,2,32,1,0,1,1,1,2,12,12,61.927414
2771,50,134,45,18,6,7,34,1,0,0,1,4,3,16,16,67.181168
3078,30,107,23,13,11,4,29,1,0,0,1,2,2,12,12,62.013172
3078,65,120,50,14,12,13,36,1,0,1,1,1,2,12,,63.42522
